name,value,keep,discrim,outcome
1,YEARSEQ,T,F,F
2,YEAR,T,F,F
3,STATE,T,F,F
4,COUNTY,T,F,F
5,CASEWT,F,F,F
6,COUNTYWT,F,F,F
7,TOTALWT,F,F,F
8,TOTCHGS1,T,F,F
9,TOTCHGS2,F,F,F
10,CHG1NAME,F,F,F
11,OFFENSE1,T,F,F
12,OFFTYPE1,T,F,F
13,CHG1ATT,T,F,F
14,CHG2NAME,F,F,F
15,OFFENSE2,T,F,F
16,OFFTYPE2,T,F,F
17,CHG2ATT,T,F,F
18,CHG2FEL,F,F,F
19,GENDER,T,T,F
20,AGE,T,T,F
21,RACE,F,T,F
22,ORIGIN,F,T,F
23,RACEHISP,F,T,F
24,CJSTATUS,T,F,F
25,CJRELPTR,T,F,F
26,CJRELPRO,T,F,F
27,CJRELPAR,T,F,F
28,CJRELCUS,T,F,F
29,CJRELDIV,T,F,F
30,CJRELFUG,T,F,F
31,CJOTHER,F,F,F
32,SERARR,T,F,F
33,PRIARR,T,F,F
34,PRIFARR,T,F,F
35,PRIMARR,T,F,F
36,PRIORFTA,T,F,F
37,SERCONV,T,F,F
38,PRICONV,T,F,F
39,PRIFCONV,T,F,F
40,PRIMCONV,T,F,F
41,PRIVCONV,T,F,F
42,PRIPRIS,T,F,F
43,PRIJAIL,T,F,F
44,ARRPTR,F,F,F
45,RELDET1,T,F,T
46,RELDET2,T,F,T
47,RELDET3,F,F,T
48,CONDSUP,F,F,F
49,DRUGMON,F,F,F
50,PTRPROG,F,F,F
51,BAILAMT,T,F,T
52,UNSECAMT,F,F,T
53,PTRMIS,T,F,F
54,FTA1,T,F,T
55,FTA2,F,F,T
56,FTA3,T,F,T
57,PTRFTA,F,F,F
58,REARR1,F,F,T
59,REARR2,F,F,F
60,RETOTCHG,F,F,T
61,PTRREARR,F,F,T
62,REOFFNAM,F,F,T
63,REOFF,F,F,T
64,REOFFTYP,F,F,T
65,RECHGATT,F,F,T
66,REREL,F,F,T
67,ARRADJ,F,F,F
68,ACHGNAME,F,F,F
69,ACHGLEVL,F,F,F
70,ACHGATT,F,F,F
71,ADJLEVEL,F,F,F
72,SPASSIGN,F,F,F
73,SPECTYPE,F,F,F
74,TREATCRT,F,F,F
75,TYPEATTY,,F,F
76,ADJTYPE,F,F,F
77,ADJ1,F,F,F
78,ADJ2,F,F,F
79,ADJ3,F,F,F
80,TRIALTYP,F,F,F
81,CONVOFF,F,F,F
82,CONVTYPE,F,F,F
83,ADJSENT,F,F,F
84,SENT1,F,F,F
85,SENT2,F,F,F
86,SENT3,F,F,F
87,PRISMAX,F,F,F
88,PSUS,F,F,F
89,JAIL,F,F,F
90,JAILMTHS,F,F,F
91,JSUS,F,F,F
92,PROB,F,F,F
93,PROBMTHS,F,F,F
94,COMMSERV,F,F,F
95,CSHOURS,F,F,F
96,FINE,F,F,F
97,FINEAMT,F,F,F
98,RESTITUT,F,F,F
99,RESTAMT,F,F,F
100,ELECMON,F,F,F
101,TREATMNT,F,F,F
102,OTHSENT,F,F,F
103,YR90,F,F,F
104,YR92,F,F,F
105,YR94,F,F,F
106,YR96,F,F,F
107,YR98,F,F,F
108,YR00,F,F,F
109,YR02,F,F,F
110,YR04,F,F,F
111,AL,F,F,F
112,AZ,F,F,F
113,CA,F,F,F
114,CT,F,F,F
115,DC,F,F,F
116,FL,F,F,F
117,GA,F,F,F
118,HI,F,F,F
119,IL,F,F,F
120,IN,F,F,F
121,KY,F,F,F
122,MA,F,F,F
123,MD,F,F,F
124,MI,F,F,F
125,MO,F,F,F
126,NJ,F,F,F
127,NY,F,F,F
128,OH,F,F,F
129,PA,F,F,F
130,TN,F,F,F
131,TX,F,F,F
132,UT,F,F,F
133,VA,F,F,F
134,WA,F,F,F
135,WI,F,F,F
136,REGION,T,F,F
137,NOREAST,F,F,F
138,SOUTH,F,F,F
139,MDWEST,F,F,F
140,WEST,F,F,F
141,APPTYP,T,F,F
142,APPJUD,T,F,F
143,RELPOS,T,F,F
144,NOSCREEN,T,F,F
145,PTRPRG89,T,F,F
146,PTRPRG01,T,F,F
147,TOTARRST,F,F,F
148,TOTINTRV,F,F,F
149,STAFFCT,F,F,F
150,PRCPSTFI,F,F,F
151,ALLREC,F,F,F
152,MSTREC,F,F,F
153,RQSTREC,F,F,F
154,NOREC,F,F,F
155,PTSCL,F,F,F
156,MATRIX,F,F,F
157,SUBJCTV,F,F,F
158,MXD,F,F,F
159,OTHSCL,F,F,F
160,STATSCL,F,F,F
161,POPULAT,T,F,F
162,POPU2,T,F,F
163,CASES,T,F,F
164,CASRAT,T,F,F
165,UCRINDX,T,F,F
166,UCRINDX2,T,F,F
167,CRMRT,T,F,F
168,CRMRT2,T,F,F
169,CRMRTCHG,T,F,F
170,DELCRMRT,T,F,F
171,ADP,T,F,F
172,ADP2,T,F,F
173,RATCAP,T,F,F
174,RATCAP2,T,F,F
175,JALAVAL,T,F,F
176,JALAVAL2,T,F,F
177,DELTJLAVL,T,F,F
178,WHTP,T,T,F
179,WHTP2,T,T,F
180,BLACKP,T,T,F
181,BLACKP2,T,T,F
182,ASIANP,T,T,F
183,HISPP,T,T,F
184,HISPP2,T,T,F
185,PCTBLCK,T,T,F
186,PCTHSP,T,T,F
187,PCTBLCK2,T,T,F
188,PCTHSP2,T,T,F
189,PCTBCHG,T,T,F
190,PCTHCHG,T,T,F
191,DELTBPOP,T,T,F
192,DELTHPOP,T,T,F
193,NTMIG4,F,T,F
194,PCTMIG4,F,T,F
195,EXPND,T,F,F
196,FULEMP,T,F,F
197,PRTEMP,T,F,F
198,USEPTR92,F,F,F
199,PRSCNCT,F,F,F
200,PRSCOMP,T,F,F
201,POLCRT,T,F,F
202,POLJAL,T,F,F
203,POLFT_PT,T,F,F
204,POLTOT,T,F,F
205,CRTTOT,F,F,F
206,JALTOT,F,F,F
207,POLRTC,T,F,F
208,CRTRTC,F,F,F
209,JALRTC,F,F,F
210,POLRT,T,F,F
211,DRGPOL,T,F,F
212,PRCP,T,F,F
213,PRCPEMP,T,F,F
214,RELDETD,F,F,T
215,RELDETE,F,F,T
216,BAILREL,F,F,T
217,BAILREL2,F,F,T
218,BAILROR1,F,F,T
219,BAILROR2,F,F,T
220,HELD,F,F,T
221,PRIARRD,F,F,F
222,PRIFARRD,F,F,F
223,PRICNVD,F,F,F
224,PRIFCNVD,F,F,F
225,PRIPRSD,F,F,F
226,PRIJALD,F,F,F
227,PRINCAR,F,F,F
228,CJSTATD,F,F,F
